ItemCode,ItemName
A011100001,HL-110J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 220 กก.
A011100030,HL-110J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 220 กก. ล้อยาง
A011100005,HB-210J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 370 กก.
A011100031,HB-210J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 370 กก. ล้อยาง
A011100009,HG-310J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 500 กก.
A011100032,HG-310J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 500 กก. ล้อยาง
A011100014,HG-510J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ 650 กก.
A011700001,HL-111J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 220 กก.
A011700016,HL-111J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 220 กก. ล้อยาง
A011700004,HB-211J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 370 กก.
A011700017,HB-211J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 370 กก. ล้อยาง
A011700007,HG-311J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 500 กก.
A011700018,HG-311J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 500 กก. ล้อยาง
A011700011,HG-511J รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับไม่ได้ 650 กก.
A011800001,HL-112J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 220 กก.
A011800013,HL-112J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 220 กก. ล้อยาง
A011800002,HB-212J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 370 กก.
A011800014,HB-212J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 370 กก. ล้อยาง
A011800004,HG-312J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 500 กก.
A011800015,HG-312J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 500 กก. ล้อยาง
A011800008,HG-512J รถเข็นพื้นเหล็กชั้นเดียว มือจับ 2 ข้างพับไม่ได้ 650 กก.
A011100023,HL-110JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับได้ 220 กก.
A011100033,HL-110JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับได้ 220 กก. ล้อยาง
A011100024,HB-210JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับได้ 370 กก.
A011100034,HB-210JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับได้ 370 กก. ล้อยาง
A011700014,HL-111JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับไม่ได้ 220 กก.
A011700019,HL-111JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับไม่ได้ 220 กก. ล้อยาง
A011700015,HB-211JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับไม่ได้ 370 กก.
A011700020,HB-211JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับข้างเดียวพับไม่ได้ 370 กก. ล้อยาง
A011800011,HL-112JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับ 2 ข้าง พับไม่ได้ 220 กก.
A011800016,HL-112JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับ 2 ข้าง พับไม่ได้ 220 กก. ล้อยาง
A011800012,HB-212JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับ 2 ข้างพับไม่ได้ 370 กก.
A011800017,HB-212JT รถเข็นพื้นเหล็กชั้นเดียว แบบติดแผงแขวน มือจับ 2 ข้างพับไม่ได้ 370 กก. ล้อยาง
A011200001,HB-210JCK รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ ฝาครอบเหลือง เบรกมือ 370 กก.
A011200004,HB-210JCK รถเข็นพื้นเหล็กชั้นเดียว มือจับข้างเดียวพับได้ ฝาครอบเหลือง เบรกมือ 370 กก. ล้อยาง
A015400006,HGE-550JC รถเข็นของพลังไฟฟ้า มือจับข้างเดียวพับได้ ฝาครอบเหลือง 550 กก.
A013100001,HL-120SN รถเข็นพื้นเหล็ก 2 ชั้น มือจับข้างเดียว 220 กก.
A013100004,HL-120SN รถเข็นพื้นเหล็ก 2 ชั้น มือจับข้างเดียว 220 กก. ล้อยาง
A013100002,HB-220SN รถเข็นพื้นเหล็ก 2 ชั้น มือจับข้างเดียว 370 กก.
A013100005,HB-220SN รถเข็นพื้นเหล็ก 2 ชั้น มือจับข้างเดียว 370 กก. ล้อยาง
A013200001,HL-120DN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง 220 กก.
A013200004,HL-120DN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง 220 กก. ล้อยาง
A013200002,HB-220DN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง 370 กก.
A013200005,HB-220DN รถเข็นพื้นเหล็ก 2 ชั้น มือจับ 2 ข้าง 370 กก. ล้อยาง
A014100001,HL-130SN รถเข็นพื้นเหล็ก 3 ชั้น มือจับข้างเดียว 220 กก.
A014100003,HL-130SN รถเข็นพื้นเหล็ก 3 ชั้น มือจับข้างเดียว 220 กก. ล้อยาง
A014100002,HB-230SN รถเข็นพื้นเหล็ก 3 ชั้น มือจับข้างเดียว 370 กก.
A014100004,HB-230SN รถเข็นพื้นเหล็ก 3 ชั้น มือจับข้างเดียว 370 กก. ล้อยาง
A014200001,HL-130DN รถเข็นพื้นเหล็ก 3 ชั้น มือจับ 2 ข้าง 220 กก.
A014200005,HL-130DN รถเข็นพื้นเหล็ก 3 ชั้น มือจับ 2 ข้าง 220 กก. ล้อยาง
